Disease,Cause,Solution
Shamollash,Turli sabablardan,"Dam olish, simptomatik davolash"
Yo‘tal,Infeksiya yoki allergiya,Shifokor maslahatiga ko‘ra davolanish
Tomoq og‘rig‘i,Bakterial yoki virus infeksiyasi,Antibiotiklar yoki antivirus dorilar
Gripp,Virus infeksiyalari,"Antivirus dorilar, dam olish"
O‘tkir respirator virusli infektsiyalar (ORVI),Virus infeksiyalari,"Dam olish, ko‘p suyuqlik ichish"
Qorin og‘rig‘i,Turli sabablardan,Shifokor maslahatiga ko‘ra dori qabul qilish
Suvchechak,Virus infeksiyalari,"Dam olish, ko‘p suyuqlik ichish"
Tish chiqishidagi bezovtalik,Tish chiqish jarayoni,Og‘riq qoldiruvchi gel yoki dorilar
Allergik rinit,Allergiya,Antihistaminik dorilar
Kon’yunktivit,Virus yoki bakterial infeksiya,Antibiotiklar yoki antivirus dorilar
Rinit,Allergiya yoki infeksiya,Antihistaminik dorilar
Quyosh toshmasi (Ekzema),Allergiya,"Krem va malhamlar, allergiyaga qarshi dorilar"
O‘pka yallig‘lanishi (Pnevmoniya),Bakterial infektsiya,Antibiotiklar
Otit,Bakterial yoki virus infeksiyasi,"Antibiotiklar, og‘riq qoldiruvchi dorilar"
Bronxit,Virus yoki bakterial infeksiya,"Bronxolitiklar, antibiotiklar"
Gastroenterit,Virus yoki bakterial infeksiya,"Dam olish, suyuqlik ichish"
Koksaki virusli infektsiya,Virus infeksiyalari,"Dam olish, ko‘p suyuqlik ichish"
Stomatit,Virus yoki bakterial infeksiya,Antiseptik dorilar
Dermatit,Allergiya yoki irsiy omillar,"Krem va malhamlar, allergiyaga qarshi dorilar"
Skarlatina,Bakterial infeksiya,Antibiotiklar
